"OrdIndex"	"Title"	"Description"	"Location"	"Type"	"Salary"	"lon"	"lat"
"330"	330	"Finance Apprentice"	"    KEY TASKS SHALL INCLUDE: Providing general administrative support to the department, including the printing and collation of meeting packs, mail merges, photocopying, archiving and handling of telephone and emailed enquiries Assisting the Purchasing team with the checking, scanning and filing of invoices, and the logging and resolution of supplier queries Assisting the Payroll team with the inputting of all timesheets, overtime, expenses and additional payments Assisting the Credit Controller with the maintenance of sales ledgers and cash book postings, including bank reconciliations Assisting the Invoicing team with the timely processing of all sales ledger invoicing Providing support to other areas within the Finance function as required The following are standard responsibilities for all positions within the Port: Participate in any review/performance management process involving the identification of training needs for self and others Take appropriate responsibility to ensure the health and safety of self and others Undertake any other tasks and responsibilities appropriate to the level of the post     Requirements and prospects    Desired skills Excellent IT skills with a good knowledge of Microsoft systems, including Excel, Word, PowerPoint and Outlook Accuracy and attention to detail Organisational skills and the ability to coordinate a range of duties Able to prioritise work, meet deadlines and remain calm under pressure An interest in developing a career in finance    Personal qualities Able to communicate effectively and relate to people at all levels of the organisation and with external customers Flexible approach to work Able to follow work related instructions and advice Committed to ensure that all relevant qualifications are gained and course work is completed on time Comply with the Port’s policies and procedures    Desired qualifications 5 GCSE at Grade C/4 or above (or equivalent) including maths and English      Future prospects To progress to Levels 3 and 4 of AAT    Things to consider Interviews set to take place week commencing 15th or 22nd July For more information on the National Minimum Wage for Apprentices please visit https://www.gov.uk/national-minimum-wage-rates       "	"South Shields "	"Apprenticeship"	NA	-1.4321848	54.9987414
"331"	331	"Volunteer"	" Do you have some time to spare for us? Do you want to make a difference in your community and worldwide? Oxfam Hexham is looking for volunteers to help us run our two shops (a bookshop and a general store) on Battle Hill. All that is required is a positive attitude! If you have computing or photography skills, we'd love you to help us with our online store. If you're interested, pop in for a chat and collect a volunteering form (or apply online!) https://www.oxfam.org.uk/shop/local-shops/volunteer-in-a-shop Job Type: Volunteer "	"Hexham "	"Volunteer"	NA	-2.1017927	54.971478
"332"	332	"Lunch time childcare assistant (TERM TIME ONLY)"	" TERM TIME ONLY (15 hours per week) Little Cygnets is recruiting, we are looking for a friendly, reliable, bubbly person with a relevant level 3 qualification in Childcare to join our small professional team in our nursery in Killingworth as well as the relevant qualification you must be able to meet the following criteria. If you can ‘eat’ playdough shaped food ; answer toy phones and drink virtual tea whilst sat at mini tables and chairs,If you can read a fairy tale from an upside-down book; and keep your place despite constant interruptions,If you can be a princess, a monster, Elsa from frozen or Spiderman and encourage little ones to do the same,If you can deliver an endless supply of warm hugs AND at the same time, count heads that are in perpetual motion,If you can shop on the way home and not be bothered about colourful stains on your clothes,If you can connect the names of children, parents, siblings, pets and soft toys to the right faces,If you want to feel loved, special, and important to many young children and their families, then we have the perfect job for you. Job Type: Part-time "	"Newcastle upon Tyne "	"Part-time"	NA	-1.6131572	54.9738474
"333"	333	"Temp Customer Liaison Advisor x2 - Customer Liaison Team"	" What's involved with this role: Two Customer Liaison Advisors are required to join the Customer Liaison Team. They will be expected to have good organisational skills and be able to use IT effectively in implementing tasks. As there is no formal Job Description for this role, please could you provide as much information as possible on your CV including any relevant Qualifications, Skills and Experience. Please quote the Job Title & Vacancy Reference No. in your application, or we will be unable to match your CV to the role being applied for. Your address (including post code) and a telephone number so that we can reach you during working hours Your recent UK working experience going back at least 5 years, or full employment history if you have been working for fewer years than this. Your availability to work either immediately, or at short notice. ***Qualification details and all other experience/skills relevant to the job role to help support your application (and help us to help you!) – please give full details within your CV document. Strong IT skills including Microsoft packages Other preferable/desirable details to include on your CV, if applicable: Any local authority/public sector experience Any relevant qualifications held or being studied for If you would prefer to send a CV straight to us rather than by way of an on-line application, you are very welcome to do so via jobs@tclrec.com but please quote both the job reference and job title exactly as they appear below:Job Ref: Tyne & Wear 1001258510776487 Anticipated Length of Assignment: Unless otherwise stated (we do carry the occasional permanent vacancy) all of our roles are technically temporary, though opening assignments can be and often are, extended by clients on a longer term basis and can sometimes become permanent. Please do try to resist contacting us with requests for progress updates. We really do read every CV sent to us. All applications will be acknowledged by a human, not a robot, provided the job remains live and provided your CV meets the “Essential Requirements” listed. Please note that we do our level best to take down ads as soon as roles have been filled. We are not in the business of harvesting CVs. Important: We will interpret your application as being permission to submit your CV to this role (with the right to represent you) unless you advise us to the contrary."	"Newcastle upon Tyne "	"Temporary"	"£10.54 an hour"	-1.6131572	54.9738474
"334"	334	"Janitor/Cleaner"	" Janitor/Cleaner required for Killingworth Shopping centre On a Temp zero hours Contract for at least 3 months no experience necessary as full training will be provided Duites to include using floor machines,litter picking, emptying bins, toilets, office and generally keeping the Mall clean Hours will be from 0530am until 2230 monday to sunday on a rota basis. Would suit someone local due to times Job Types: Full-time, Temporary Salary: £8.38 /hour Experience: cleaning: 1 year (Preferred)Flexible Working Options Available: Not offered"	"Newcastle upon Tyne"	"Temporary"	"£8.38 an hour"	-1.6131572	54.9738474
"335"	335	"Senior Psychological Wellbeing Practitioner"	"    Senior Psychological Wellbeing Practitioner  Salary Band: C (£30,300 - £36,664)  Hours: Full Time(37.5 per week)  Location: Buttress House, Seaton Burn  Contract: Fixed term (12 months) to cover maternity leave, beginning July 2019   An exciting opportunity has arisen for a Senior Psychological Wellbeing Practitioner to join a dynamic team of clinicians.  You will be joining Insight Healthcare, which is a highly regarded, national organisation and an experienced and well established provider of talking therapy services on behalf of the NHS. As a key member of the team you will be valued for your contribution to maintaining Insight’s excellent reputation and helping us develop this further through innovative practice.  It is our mission to improve the mental health and wellbeing of the people we serve. You will play a key role in delivering this mission, and be committed to our core values which are at the heart of everything we do.  This is an excellent opportunity to join an organisation that has experienced recent growth and continues to seek new opportunities to further strengthen and build upon our excellent reputation.   We would love to hear from you if you are:- excited by change and looking for an organisation that has the infrastructure in place to offer the excellent service you have been trained to deliver committed to delivering quality interventions that reflect local and national priorities and targets an inspirational team player with excellent communication skills and able to work collaboratively able to deliver required performance targets committed to improving access to psychological therapies   What we offer in return; 27 days annual leave plus bank holidays (rising with length in service) and with the opportunity to purchase additional leave A comprehensive induction and ongoing training, development and clinical supervision An enhanced pension scheme A supportive culture that values work-life balance An Employee Assistance Programme which offers 24/7 financial, legal and personal advice, including free access to counselling where required Access to LifeWorks, which provides excellent corporate discounts on shopping, cinema tickets and restaurants Discounted gym membership and Cycle to Work scheme Family friendly policies including enhanced maternity, paternity and adoption pay Death in Service Insurance   The job description and person specification are attached. For an informal discussion regarding this post please contact Jessica Tasker, Senior Psychological Wellbeing Practitioner, on 0300 1234502 and she will be happy to speak to you.   How to apply:  Please apply through the NHS Jobs website.  The closing date for applications is Sunday 26th May 2019 Interviews will be held on the week commencing Monday 3rd June 2019    This post is subject to an Enhanced DBS Disclosure. Concern Group will cover the cost of this.   If you have not heard from us within 6 weeks of applying, please assume you have been unsuccessful on this occasion.Concern Group reserves the right to close the vacancy early if a large volume of applications is received.NHS Jobs is used as an advertising platform only; any information regarding shortlisting or interviews will be sent to the email address provided on your application.    To stay safe in your job search we recommend that you visit SAFERjobs (https://www.safer-jobs.com), a non-profit, joint industry and law enforcement organisation working to combat job scams. Visit the SAFERjobs website for information on common scams and to get free, expert advice for a safer job search.    "	"Seaton Burn"	NA	NA	-1.4915475	55.0659529
"336"	336	"Optical Consultant"	" The importance of your role. This is your chance to be part of something a bit different. You’ll use your passion for service and provide an outstanding level of care for our customers. We think that’s a big opportunity. The customer is everything to Boots, and working with the Practice Manager, Optometrist and Optical Consultants, you’ll create a culture where everyone is friendly and passionate about doing the right thing for them. Together these elements will play a big part in making us No 1 for Customer Care. What you’ll be doing day to day. Primarily, you’ll provide information to customers, working alongside the Optometrist, to help them select the best products and services to ensure customers see, look and feel better than they ever thought possible. Secondly, you’ll keep up-to-date with all the various new lines and promotions within your practice, so that you can always provide customers with the most up-to-date information. Finally, you’ll play your part within the team, working together and helping and supporting colleagues to deliver a successful and profitable business. How will you do it? You’ll listen to our customers – and provide the right, up to date information at all times. You’ll select the best products for each customer and this, in turn, will naturally increase our sales and make us profitable. You’ll ensure that the practice is always clean and tidy and that you effectively manage queues at busy periods. This means our customers will receive an excellent service in a great environment. What you’ll need to have. We’re looking for really great people, with a friendly personality and experience in an optical business. It’s all about working together as one great team – after all it’s our people that are at the heart of our business. It’s a fantastic opportunity to add to your own development, and a chance to learn more about us as a business. It could open up even more opportunities with us. You’ll need to have lots of computer experience, along with really great communication and customer service skills. It isn’t just about experience, we’re interested in seeing a bit more, the real you – and that makes us all feel good. Job Type: Full-time Salary: £18,000.00 /year "	"Washington "	NA	"£18,000 a year"	-77.0365625	38.8950092
"337"	337	"Experienced Quotes/Order Processor"	" Exclusive Aluminium Ltd are one of the most highly regarded manufacturers of windows,doors and curtain walling in the North East. A privately owned company that has been built on the principles of providing customers with high quality products that are manufactured from market leading components. We are currently recruiting for an Experienced Quotes/Order Processor based in the Sunderland area. Key Responsibilities Inputting window, door and curtain walling onto industry specific software (Logikal) Ordering materials to complete a project Liaising with customers via email/telephone and resolving any queries Help to support team members with other duties when required providing accurate orders and quotation processing, placing orders sheets for factory Requirements Experience of the aluminium window and door industry ESSENTIAL Ability to prioritise workload and be organised is highly advantageous Candidates must have experience on the software LOGIKAL Excellent communication skills and telephone manner when dealing with customers and suppliers Professional Confident Good customer service Good numeracy and literacy skills Be computer literate and be used to working in a high pressure environment with attention to detail Job Type: Full-time Experience: logikal: 3 years (Preferred)"	"Sunderland"	NA	NA	-1.375053	54.9063791
"338"	338	"Retail warehouse"	" We have a temporary full time position for our new processing team based at the Warehouse. This is an exciting opportunity to be part of a new stock process being introduced at the Barbour warehouse in Jarrow. The role will involve accurately and efficiently using systems to process stock into the Warehouse. Candidates should enjoy working in a fast paced environment using systems accurately. This role also includes, labeling, hanging and finally packing the clothing. Job Type: Full-time Experience: pallet jack: 1 year (Preferred)Location: Jarrow, Tyne and Wear (Preferred)"	"Jarrow"	NA	NA	-1.4810622	54.9819481
"339"	339	"GCSE Maths Tutor"	" Monday- Friday 10 hours per week (Term Time Only) Well established alternative education learning centre seeks motivated and experienced GCSE maths tutor to strengthen its team. You will assist the Lead Tutor in the delivery of qualification based programmes using Sport, Creative, Mechanics, or Care (dependant on your specialism and skills) as the tool of engagement. Working with young people aged 13 - 16 years you will be able to motivate and inspire whilst maintaining good levels of discipline and promoting social responsibility. Using a variety of teaching methods, ensuring qualification units are delivered taking into account a range of learning styles, you will be able deliver informative, enjoyable, safe and inclusive lessons. This post is subject to an Enhanced DBS check. A comprehensive screening process will be undertaken on successful applicants. You will also be required to complete a number of mandatory training courses applicable to this role. Both CV and application form (https://tinyurl.com/y9o9nfsf) must be completed for this post. Applicants for this post are subject to Educ8’s privacy notice for job applicants available from educ8group.com/recruitment. Job Type: Part-time Salary: £8,640.00 /year Experience: tutoring: 1 year (Preferred)"	"Newbiggin-by-the-Sea "	"Part-time"	"£8,640 a year"	-1.5109345	55.1853665
"340"	340	"Purchasing Administrator"	"  Our client , a highly succesful company based in North Tyneside is looking for a dynamic and motivated member of staff , to join them within a Purchasing role. Responsibilities will include:  Monitoring day to day operations to ensure purchasing requirements are met.  In consultation with the accounts officer ensuring the efficient processing of invoices is undertaken within prescribed supply conditions/payment terms.  Administrative follow up of the enquiries,ordering and supply of goods to various locations, obtaining quotations for supplies and placement of orders.  Check pending orders file on a monthly basis and follow up quotations and close out.  Present analysis of quotations and alternative means of supply to decision makers.  Follow up on actual delivery of ordered goods.  Evaluate Supplier's performance.  Assign budget quotes to requisitions.  Prepare and distribute monthly updates.  Prepare prepayment vouchers as required.  This is a very busy role , dealing with multiple enquiries each day, and will best suit a candidate who thrives in a fast paced environment. Excellent salary (£26k)and benefits package. Based in North Shields, parking on site and easily accessible by public transport. Candidates who have a proven track record in purchasing, logistics, oil and gas , shipping, manufacturing, engineering industry would be of interest. This role is of high importance so please apply immediately if interested. Due to the high volume of applications we are currently receiving we unfortunately cannot respond unsuccessful candidates. If you have not received a reply within 7 working days then please assume your application has been unsuccessful on this occasion.  "	"North Shields"	"Permanent"	"£26,000 a year"	-1.4451288	55.0093149
"341"	341	"Product Consultant"	"  Finally. A car sales job that sells itself.  Forget suits, ties and devoting your entire life to the showroom floor. Instead, say hello to a car sales role that gives you permission to be yourself, showcase your amazing customer service skills and enjoy every working day to the full. As an Arnold Clark Product Consultant at Newcastle Ford, you’ll help us to shake off all those outdated car industry clichés and drive modern car retailing towards a diverse and exciting future. From our comfortable uniforms and range of staff benefits to our five-day working week commission structure, we’re giving you all the tools to succeed – and still enjoy your life outside work. You also don’t need to be a car fanatic to be a Product Consultant (although we like those, too!) All we ask is that you love helping people, have buckets of energy and enthusiasm and can rise to any challenges along the way. Sound like you? Here’s what you’ll do.  Deliver outstanding, 5-star service for every customer – that means going the extra mile for everyone who walks through the door. Build and maintain lasting and sincere relationships with customers, both in person and over the phone. Sell the right sales package for the customer, from finance to servicing, with integrity and professionalism at the top of your list. Go out of your way to get customers excited about our incredible range of new and used cars. Shine on camera, as you create and send personalised video presentations to potential customers. Co-ordinate the order and delivery of vehicles and keep everything running smoothly. Meet those monthly sales expectations and customer experience standards like a boss. Work as part of a dynamic team to make sure deadlines are met and we always make good on our promises. Stay in touch with our customers to offer them a great aftersales experience. Make sure you’re on the ball, honest and reliable, staying fully compliant with Finance Conduct Authority legislation. What we need from you…  Whether you’ve worked in retail, a call centre or a sales environment, you’ll need a proven ability to deliver fantastic customer service. It’s been the foundation of the company since 1954. Fantastic communication, organisation and people skills – we want people who love what they do! Bags of energy and enthusiasm. An understanding that being organised and remembering the little details helps us to deliver our promises and exceed expectations. The desire to have a career that’s lasting and fulfilling. A full driving licence. If you think you’re the right person for this fantastic new opportunity, apply online now. We’re looking forward to meeting you.Employment within the Arnold Clark Group is offered subject to satisfactory reference and disclosure check.   Benefits Every Arnold Clark employee is entitled to a wide range of benefits, including: Discount on new and used vehicles Contributory pension scheme Private medical insurance Life assurance  "	"Newcastle upon Tyne"	NA	"£35,000 a year"	-1.6131572	54.9738474
"342"	342	"Business Administrator"	" This is a fantastic opportunity to join a well-established engineering business. Our client requires an experienced Administrator who has experience of dealing with suppliers and processing purchase order and who can provide excellent support within the company. Responsibilities: Checking incoming sales orders against quotations or previous purchases Check pricing from manufacturer/order quantity and lead time Working with relevant sales people to ensure good customer support Process sales order or raise purchase orders as generated by our systems Process purchase orders in a cost-effective manner Progress chase purchase orders Other office duties including taking calls and assisting with invoices Requirements: A background in Sales Order Processing or Purchase Order Processing Good IT skills Excellent communicator Ability to work in a busy environment and prioritise workload Can work on own and as part of a team Job Type: Full-time Salary: £20,000.00 to £24,000.00 /year "	"Jarrow"	NA	"£20,000 - £24,000 a year"	-1.4810622	54.9819481
"343"	343	"Mechanised Print Finishing Apprenticeship"	"By the end of this qualification, the successful applicant will understand the importance of Health & Safety during the execution of his / her daily tasks. The applicant will have experienced personal development, whilst gaining an overview of the print industry Training will cover employment rights & responsibilities, productivity measurement and how to improve it. The applicant will be aware of how to achieve and maintain quality, as well as understanding quality systems They will have gained an understanding of the main printing processes and how to set up & control finishing equipment, including output and quality, through the implementation of planned, preventative maintenance and their impact on individual and organisational performance To maintain a clean and tidy work environment, ensuring that all appropriate Health and Safety regulations are adhered to Requirements and prospects Desired skills IT (Microsoft excel, word, outlook). Excellent numeracy and literacy skills. Good communication skills and a sharp eye for details.  Personal qualities Organised with good self time-management skills Determined and resilient Committed with a good work ethic Team player and also able to work under own initiative Proactive – anticipating change and consequences, as well as reactive and responsive to last minute demands Patient and keen to learn Confident Flexible attitude toward working hours, recognising the requirement to stay until a task is completed Desired qualifications 5 x GCSE’s (Grades A-C or 9 – 4) minimum. Must include maths and English  Future prospects Successful apprentices have moved through various departments, post course completion, to take up different roles in the business. Some have even moved from production into administrative jobs, bringing their production skills and knowledge into a customer relationship role, where they can act as trusted advisers and guide our clients through their purchasing requirements.  Things to consider Important Other Information  Vacancy will close early if the right candidate is found - apply early to avoid disappointment  Please note you may be contacted via e-mail for interview  The National Minimum Wage (NMW) for Apprentices is £3.90 per hour. This applies to 16-18 year old Apprentices and those aged 19 and over in the first year of their Apprenticeship. For all other Apprentices the Apprentice National Minimum wage appropriate to their age applies.  The Wage for Apprentices applies to both time spent on the job plus time spent training.  On-site assessments and a portfolio of evidence will be necessary to show work place learning.  Full health and safety training will be given and PPE supplied."	"Washington "	"Apprenticeship"	NA	-77.0365625	38.8950092
"344"	344	"Fitness Assistant"	" Do you love fitness? Could a career in personal training at an Industry leading gym be just what you are looking for? Are you an achiever at a high level of sport? (Running club, Dance, Boxing, Rugby, Football) We want to hear from you! We are seeking Trainee Personal Trainers £13-45k + Job Type / Category A career in the fitness industry can be extremely rewarding and could be the perfect job for you. Upon your application with Direct Fitness, you will be offered an exclusive place to gain the nationally recognised - Level 3 Diploma in Fitness Instructing and Personal Training with Additional extras such as: Group Cycle - Spinning Boxercise Business management Circuit training Required Education, Skills and Qualifications No experience necessary but a passion for sport and well-being is essential Simply apply with your CV and we will be in touch We are proud to partner up with leading health and fitness operators in the UK to offer graduates a wide range of job opportunities in order to maintain a successful career in the fitness industry. Starting with arranged interviews with our leading gym partners: The Gym Group, Pure gym, Xercise 4 Less, DW Fitness, Total Fitness, Lifestyle Fitness JD Gyms and many more. Job Type: Full-time "	"South Shields"	NA	NA	-1.4321848	54.9987414
"345"	345	"Administration Assistant"	" Durham County Council: Administrative Officer: £9.36 an hour Address of Vacancy: Consett Hub Beechdale Road Consett Durham DH8 6AY To provide a comprehensive, robust administrative support service to support to the One Point Service and Family First Team members to assist them to deliver a high quality service, which meets the needs of children, young people and families. Notes: This administrative role would particularly benefit from candidates with some finance experience. Start Date: 28th May 2019 End Date: 31st Dec 2019 Job Types: Full-time, Temporary Salary: £9.36 /hour Experience: Administration: 1 year (Preferred) Finance: 1 year (Preferred) "	"Durham"	"Temporary"	"£9.36 an hour"	-1.5758539	54.7764152
"346"	346	"Team Leader"	"   Lifeways is one of the largest suppliers of Care in the UK.  We are recruiting for a Team Leader to work in Lifeways Community Care Tyne and Wear Area, in one of our supported living schemes based at Church View, Southwick. Church View supports twenty four people with a range of needs, in independent apartments and bungalows on site, providing 24/7 support. The Team Leader will be required to work all shifts on the rota.  ROLES AND RESPONSIBILITIES  Job Purpose: To work with the Scheme Manager for the Locality to oversee a supported living service, ensuring that systems and standards are maintained to a high quality. To ensure compliance with all external regulatory standards and quality. To provide support and supervision of Support Workers within the identified team. Key Responsibilities: To support and supervise the delivery of person centred services to all people using the service To support the Service Manager in the completion of accurate rota and timesheet information To attend meetings and multi-disciplinary reviews as required To promote and support the health and safety of both people using the service and support staff To ensure that the actions of all staff directly supporting people using the service support their care, protection and well-being To develop own knowledge and practice relative to continuous service improvement To provide support and supervision to Support Workers, to ensure effective and efficient person centred service delivery To work alongside staff on shift to observe practice and quality Essential Experience and Qualifications -  Ideally you will hold an NVQ / SVQ 3 or a QCF level 3 award certificate or diploma in Health and Social Care or equivalent, and have relevant experience preferably within the relevant field. You will have supervisory responsibilities therefore previous management/supervisory experience is essential.  A full, clean driving licence is desirable.  In this role you will be required to be highly flexible and participate in the 24 hour on-call rotational system providing management support to staff and person-centred approaches to the people who use our service.  When applying for a role with Lifeways Group the information you provide will be used for recruitment purposes only, this information will be stored for 12 months and deleted unless you give permission for your information to be stored for longer. Full details on the Lifeways Privacy Notice can be found by following this link: https://jobs.lifeways.co.uk/privacy_notice-3608.html  "	"Tyne and Wear"	"Permanent"	NA	-1.566667	54.916667
"347"	347	"Crew Member Part Time Northumberland Street"	"  Join us and you'll become part of a crew, or a team, that works together to provide the best quick service, family restaurant experience – by far. If you've visited one of our restaurants before, you’ve probably got some idea of what's involved in working here. But you might not realise the variety and scope of the role. We want every McDonald's customer to have a brilliant experience, every time they visit. That means hot food in a clean and friendly restaurant. As a Crew Member, you'll make it happen, whether you're preparing food, serving on the till or being out in the dining areas looking after our customers' needs. A franchised restaurant is a restaurant operated by a local business person trading under the McDonald's name. Currently over half of our restaurants in the UK are franchised but from a customer point of view there's no difference. For employees there will be minor differences between a company and a franchised restaurant. Please refer to additional information for more details. Position Requirements Quite simply, you'll be working in our fast moving, high energy environment and we’re looking for a genuine smile plus an ability to connect with customers and make them feel valued. Position Attributes To join us as a Crew Member you’ll need to be confident in approaching and dealing with diverse groups of people. Friendly, courteous and helpful behaviour will come naturally to you and you’ll work well as part of a team. Effective communication skills such as attentive listening, face-to-face verbal communication and eye contact are a must. You’ll also need to understand the importance of maintaining high standards of quality and service as well as cleanliness. The ability to maintain high energy levels whilst working both efficiently and productively is essential. Finally, your appearance should be smart and clean.   "	"Newcastle upon Tyne "	"Part-time"	NA	-1.6131572	54.9738474
"348"	348	"Mate - M&E"	" The Facilities Management team at Coleman James are seeking 2 M&E Mates for contract roles in Newcastle upon Tyne. The day to day responsibilities will include maintenance work, working alongside mechanical and electrical maintenance technicians on a large static site. Basic plumbing, electrics, repairs, maintenance, small projects. They client is looking for applicants with mechanical and/or electrical experience. Ideally from a maintenance background or m&e background. This is shift work 2 day 2 nights 5 off. Must be willing to work both days and nights (4 x 12 hour shifts). Initially the role is for 3 months, could go longer for the right candidate. Job Types: Full-time, Temporary, Contract Salary: £10.50 to £11.50 /hour "	"Newcastle upon Tyne"	"Temporary, Contract"	"£10.50 - £11.50 an hour"	-1.6131572	54.9738474
"349"	349	"24hr Supervisor, Kurt Geiger, Metrocentre"	" Are you Driven? Passionate? Captivating? Engaging?…. And LOVE fashion?  Yes… well, we are Kurt Geiger and we think you could be too!  Kurt Geiger first opened in Britain’s fashion capital on Bond Street, London in 1963. Since the Sixties Kurt Geiger has not stood still as it continuously evolves to make covetable footwear and accessories with a unique market position, pairing aspiration with accessibility.  We are Europe’s leading luxury shoe and accessory retailer and we are looking for the next generation of talent to join our business.  WE NEED YOU TO: Ensure the customer service is of the highest standards at all times Handle all stock effectively and ensure back of house standards are maintained Support your Management Team in achieving company sales targets and operational goals Be a role model for our brand with our personal presentation standards Maintain store visual standards Requirements As a supervisor with Kurt Geiger, you will drive sales with your passion for luxury footwear, support the team and be a fabulous service ambassador whilst representing our dynamic and innovative brand. Using your extensive retail knowledge and excellent communication skills, you will form long lasting relationships with customers and your team. Delivering the very best shopping experience for our customers, you will proactively support back of house operations and create a seamless shop floor experience, whilst supporting the management team where needed. To be successful, you will be an experienced seller with KPI knowledge, able to meet and exceed targets in a retail environment and have experience of supervising a team. Benefits Pension Scheme Amazing employee discounts "	"Metrocentre"	NA	NA	-1.664932	54.9588888
"350"	350	"Experienced Croupiers"	" Do you want to experience working for the most innovative & nimble organisation within the Gambling industry? Do you know how to inspire excellence in customer service? If the answer to these questions is YES, then we want to hear from you. We are currently seeking to recruit experienced Gaming professionals for the positions of Croupiers for our highly successful and exciting Aspers Newcastle at the Gate site. Aspers Croupiers are empowered to service the operation of the live gaming floor. The successful applications will be responsible for ensuring that Aspers core service values are demonstrated through the provision of an exciting and exceptional customer experience. Croupiers will be well presented; be focused on providing a positive service culture; display the expected professional behaviours as well as maintain game efficiency, integrity, and consistency. Selection Criteria: PFL holder Customer Service experienced and focused A minimum of 12 months live gaming table experience If you are interested in applying for these positions and possess the necessary skills and attitude, please forward your updated curriculum vitae, together with a letter of application. Job Type: Full-time "	"Newcastle upon Tyne "	NA	NA	-1.6131572	54.9738474
"351"	351	"Supervisor - Fashion Retail"	" The Supervisor role assumes the leadership of the store in the store Managers absence. We expect our people to bring their own high standards and continually raise the bar across all areas of their role. You will not be micro managed and will have to be able to take direction whilst owning the direction with your teams. You will be remote from Head Office in Newcastle. We expect you to be proactive, self motivated, resilient, driven and have a track record of taking accountability – ownership and personal responsibility and very important to us. We need you to have demonstrable experience a fast paced and customer centric environment, fashion would be real bonus as this role is fully immersed in the details of retail, including selling, KPI’s, hiring great people, building a team and ensuring financial discipline. An airport is a unique trading environment. The trading hours are longer than the high street and your team are time pressured. Its also lots of fun, very interesting and has the added bonus of always knowing how many customers are coming through the door and pretty much exactly when. ARG are ambitious and have a strong desire to grow our business in the UK through driving continuous improvement in our stores. The outcomes we expect from this role reflect this. Store Manager is a key role so we are looking for someone who has all of the competencies we need, in abundance. These are outlined below. If you think you are in the top 10% of your kind in your game and can deliver what we need - please apply! Mission: To continuously drive store performance through driving top line sales, controlling costs, maintaining financial discipline and creating an amazing team. Working with the Store Manager to develop, drive and deliver your store strategy to ensure you deliver store objectives and KPI’s. Outcomes Grow top line store salesControl the cost budgets within targetsSell, Sell, SellContribute to developing an amazing teamDrive financial disciplineCommunicateStrategise Communication & Relationships– understands the importance of communication and relationship building in business. Speaks and writes clearly to all levels, is articulate and not overly verbose, understands their audience. High Standards– believes in themselves and believes they can achieve more and better, can determine what’s required to raise the bar, articulate this, get buy-in and drive continuous improvement. Ability to sell– makes the customer the heart of everything and can infect their team with this strategy. Responsible & Reliable– can get the job done particularly under pressure and is still able to deliver the goals and objectives. Accountable– makes sounds decisions and takes accountability for the outcomes. Culture- committed to team work. A floor manager who leads by example. Is able to take direction, make it their own and work as a team to deliver. Think FASHION!– has an eye for what works well, what the latest trends are and is able to articulate why something is either selling or not selling. Represents the brand at all times. Enthusiasm– committed to a growing business and bringing positivity at all times. Respect & Honesty- Ethically strong, earns trust, maintains confidence, does what is right, speaks plainly and truthfully. Points for the Candidates Consideration: We are a 24 hour operation committed to open at the Airport’s request. This means opening hours that include early mornings/late evenings and on national holidays. Due to these opening hours and the requirement to remain flexible in this position, independent transport is required.Airport Regulations require successful candidates to pass Criminal Record Checks and supply a professional/educational history of 5 years without any gaps longer than 2 weeks. We are unable to consider any applicants that would be unable to fulfill these criteria.Due to the expected number of applicants, unsuccessful candidates will not be contacted. Job Type: Full-time Experience: Retail Management: 1 year (Preferred)"	"Newcastle upon Tyne"	NA	NA	-1.6131572	54.9738474
"352"	352	"DRIVER/LABOURER"	" Preparing orders, loading and unloading vehicles using manual handling and delivering orders on a 7.5 ton truck as required to various addresses and destinations within a 50 mile radius. Your duties will also involve loading and unloading of incoming and outgoing vehicles by either manual handling or fork lift truck and if required to serve customers in the timber yard. You will be responsible for keeping daily driver records, vehicle checks and keeping the vehicles in a clean and tidy condition. Your CPC must be up to date. You may from time to time be required to carry out other such reasonable duties as the Employer may decide, without additional remuneration, should this be necessary to meet the needs of the business. Working hours are - Monday - Friday 8.00-16.30 & Sat 8.30-12.30 Job Type: Full-time Experience: fork lift truck: 5 years (Preferred) driving: 10 years (Required) Licence: Driving License (Required) CPC (Driver Certificate of Professional Competence) (Required) Forklift Licence (Preferred) "	"Sunderland"	NA	NA	-1.375053	54.9063791
"353"	353	"Full Time Front Of House"	" We are currently looking for a full time member of staff to join our front of house team at The Red Kite. The role will entail bar and restaurant work with development opportunities possible for the right candidate. Ideally you will be confident and motivated and have excellent customer service skills. You need to be able to work at pace at times, have a smile on your face and have an eye for detail with high standards.You will be available to work various hours as the pub opens at 10am and closes at midnight at weekends so shifts may be days or evenings and includes weekends, bank holidays and Christmas. Having your own transport would be beneficial due to the location as finish times will on occasions be after bus service times. Previous applicants need not apply and all applicants must have proven experience within a similar role. Job Type: Full-time Experience: Hospitality: 1 year (Required)Education: GCSE or equivalent (Required)Licence: Driving License (Preferred)Language: English (Required)"	"Winlaton"	NA	NA	-1.7260494	54.9509317
